Unique ID,Country IDs,Country Names,Age,Industry,Years of Experience,Job Title,Education,Knows English,Number of Connections,Endorsements,Profile Picture,Volunteer Experience,WFH,Company Type,Company Size,YOE in Current Company,Received Promotion,Number of People Under,Salary
23,4,Canada,26,Retail,24,Professor,Bachelor,1,99,4,0,1,0,Startup,10000,14,1,47,162513.1
24,1,USA,23,Others,0,Professor,Bachelor,1,24,0,0,0,0,Startup,10,0,0,33,98126.72
25,3,India,34,Finance,8,Doctor,Bachelor,0,99,3,0,1,1,Public,10000,7,0,0,41755.8
26,4,Canada,35,Tech,23,Professor,Bachelor,1,25,1,1,1,1,Startup,1000,0,0,23,107397.7
27,1,USA,29,Tech,1,Doctor,Bachelor,1,73,1,1,1,0,Non-profit,10,0,1,0,74769.88
28,2,UK,23,Tech,15,Professor,Bachelor,1,24,0,0,1,1,Non-profit,10,12,1,34,117839.5
29,4,Canada,30,Healthcare,6,Doctor,Bachelor,1,88,5,1,0,1,Startup,1000,0,0,0,71552.84
30,4,Canada,32,Education,6,Software Engineer,PhD,1,373,2,1,0,1,Public,100,4,1,0,104148.2
31,4,Canada,26,Finance,12,Product Manager,Master,1,902,11,0,0,1,Public,10,10,0,42,205222.7
32,1,USA,34,Others,17,Professor,Bachelor,1,63,1,0,0,1,Non-profit,1000,8,1,1,86795.67
33,2,UK,31,Manufacturing,19,Product Manager,PhD,1,926,17,1,1,0,Government,10,7,1,47,308952.3
34,2,UK,27,Tech,25,Data Scientist,Master,1,633,4,1,0,0,Private,100,11,0,0,157775.6
35,2,UK,27,Tech,5,Data Scientist,PhD,1,697,57,1,0,1,Private,10000,3,0,0,231826.5
36,1,USA,35,Tech,21,Data Scientist,Master,1,348,1,0,1,0,Startup,10000,2,1,0,141752.4
37,3,India,28,Others,2,Product Manager,Bachelor,0,379,0,1,0,1,Non-profit,1000,1,1,30,56377.64
38,5,Australia,24,Education,1,Marketing Associate,Bachelor,1,74,3,1,1,0,Startup,10,0,0,0,77861.66
39,4,Canada,29,Manufacturing,6,Product Manager,PhD,1,755,56,1,0,0,Private,100,3,1,20,238368.7
40,4,Canada,31,Others,18,Product Manager,PhD,1,841,66,0,0,1,Startup,10,12,0,24,436891
41,3,India,29,Retail,27,Data Scientist,Bachelor,0,521,6,0,0,0,Private,1000,21,0,0,86712.42
42,5,Australia,33,Retail,4,Software Engineer,Bachelor,1,194,0,1,0,1,Government,10,1,1,0,73985.39
43,3,India,24,Finance,19,Professor,Bachelor,0,6,0,0,1,1,Non-profit,10000,1,0,15,41870.08
44,1,USA,27,Education,40.34615,Professor,Bachelor,1,94,2,1,0,0,Startup,10000,15,0,0,148485.6
45,1,USA,27,Healthcare,1,Doctor,Bachelor,1,33,2,1,1,0,Private,10000,0,1,0,64647.55
46,5,Australia,34,Retail,21,Professor,Bachelor,1,72,6,0,0,1,Government,10,8,1,19,110968.5
47,1,USA,32,Retail,4,Marketing Associate,Bachelor,1,75,2,0,1,1,Public,10000,0,0,0,68847.55
48,5,Australia,31,Manufacturing,19,Product Manager,Bachelor,1,771,60,1,1,0,Non-profit,10000,12,0,4,254917.7
49,2,UK,29,Manufacturing,25,Sales Associate,Bachelor,1,29,1,0,0,1,Startup,1000,14,1,0,105198.8
50,5,Australia,35,Others,7,Product Manager,Bachelor,1,226,17,0,0,0,Government,100,1,0,8,98013.61
51,2,UK,25,Healthcare,24,Business Analyst,Bachelor,1,574,4,0,0,0,Startup,100,23,1,0,184434.6
52,3,India,26,Finance,4,Product Manager,Master,0,777,64,1,1,1,Non-profit,100,1,1,2,93226.65
53,3,India,31,Manufacturing,19,Doctor,Bachelor,0,9,0,1,1,1,Government,10,17,0,0,48367
54,1,USA,23,Tech,15,Sales Associate,Bachelor,1,95,3,0,0,0,Government,1000,3,1,0,96343.22
55,2,UK,28,Finance,2,Professor,Bachelor,1,53,3,1,0,1,Startup,10,1,1,27,88547.28
56,2,UK,31,Retail,25,Data Scientist,Master,1,693,3,1,0,0,Public,10,2,0,0,118371.9
57,2,UK,30,Retail,25,Sales Associate,Bachelor,1,89,7,0,0,0,Government,100,15,0,0,98888.2
58,2,UK,28,Education,12,Business Analyst,Master,1,118,6,0,0,1,Startup,1000,4,0,0,88689.03
59,4,Canada,29,Others,20,Doctor,Bachelor,1,98,0,1,1,0,Non-profit,1000,14,1,0,82363.65
60,4,Canada,28,Healthcare,25,Professor,Bachelor,1,72,0,1,0,0,Private,10,4,0,1,72642.63
61,3,India,30,Tech,29,Marketing Associate,Bachelor,0,74,3,0,0,0,Government,1000,4,0,0,53106.5
62,4,Canada,34,Tech,5,Software Engineer,Master,1,740,20,0,1,0,Government,10000,0,1,0,124924.1
63,1,USA,33,Tech,30,Doctor,Bachelor,1,33,1,1,0,0,Public,100,18,0,0,129215.8
64,4,Canada,27,Education,20,Product Manager,Master,1,193,1,1,1,1,Government,100,19,1,35,135040.5
65,5,Australia,34,Others,9,Sales Associate,Bachelor,1,75,6,1,0,1,Government,1000,3,0,0,75738.53
66,2,UK,34,Tech,17,Data Scientist,Bachelor,1,966,52,1,0,1,Private,10000,6,0,0,234647.6
67,3,India,25,Manufacturing,24,Doctor,Bachelor,0,81,7,1,1,1,Non-profit,10000,17,1,0,58052.31
68,5,Australia,29,Tech,11,Business Analyst,PhD,1,431,39,0,1,0,Startup,1000,10,1,0,277381.8
69,4,Canada,29,Others,2,Doctor,Bachelor,1,79,3,1,1,0,Non-profit,100,1,0,0,58073.01
70,5,Australia,31,Others,11,Marketing Associate,Bachelor,1,81,0,1,0,0,Startup,10,8,1,0,96162.84
71,5,Australia,35,Finance,33,Marketing Associate,Bachelor,1,69,5,0,0,0,Non-profit,10000,1,0,0,88168.25
72,5,Australia,24,Manufacturing,22,Marketing Associate,Bachelor,1,11,0,1,1,1,Private,100,6,1,0,80152.69
73,4,Canada,23,Others,17,Business Analyst,Master,1,870,36,1,1,1,Public,10,0,0,0,150908
74,5,Australia,28,Tech,1,Business Analyst,PhD,1,989,1,0,0,1,Non-profit,100,0,0,0,176711.3
75,5,Australia,23,Others,1,Sales Associate,Bachelor,1,26,1,0,1,1,Public,10000,0,1,0,61153.75
76,5,Australia,33,Retail,25,Doctor,Bachelor,1,40,3,0,1,0,Private,10000,2,1,0,82635.01
77,1,USA,24,Others,20,Marketing Associate,Bachelor,1,25,0,1,1,0,Public,100,5,0,0,80624.2
78,5,Australia,35,Education,7,Business Analyst,Bachelor,1,687,20,0,1,0,Public,1000,1,0,0,127247.7
79,4,Canada,27,Others,0,Data Scientist,PhD,1,459,43,1,1,0,Startup,10000,0,1,0,163891
80,3,India,35,Tech,12,Product Manager,Bachelor,0,221,21,0,1,0,Non-profit,100,5,0,28,80168.12
81,1,USA,33,Education,7,Software Engineer,PhD,1,496,16,1,0,1,Private,1000,6,0,0,164309.3
82,2,UK,24,Manufacturing,12,Doctor,Bachelor,1,86,2,0,,1,Government,1000,3,0,0,69291.23
83,2,UK,32,Manufacturing,23,Business Analyst,PhD,1,440,10,0,1,0,Private,100,4,0,0,142557.7
84,4,Canada,23,Others,6,Product Manager,Bachelor,1,516,0,0,0,0,Private,10000,5,1,44,128838.9
85,1,USA,26,Manufacturing,2,Business Analyst,Bachelor,1,157,13,0,0,0,Startup,10,0,0,0,96005.17
86,1,USA,32,Manufacturing,27,Product Manager,Master,1,666,8,0,0,1,Government,100,23,1,39,283663.6
87,2,UK,35,Education,9,Sales Associate,Bachelor,1,1,0,0,0,1,Startup,100,2,0,0,71106.82
88,3,India,35,Finance,30,Doctor,Bachelor,0,53,0,0,1,1,Private,100,1,1,0,41661.09
89,5,Australia,26,Education,18,Business Analyst,Bachelor,1,887,77,1,0,0,Public,10,6,1,0,260870.1
90,3,India,34,Education,26,Sales Associate,Bachelor,0,78,4,1,1,1,Public,100,15,1,0,54587.84
91,1,USA,23,Tech,12,Professor,Bachelor,1,43,0,0,1,0,Private,10,7,0,16,107680.2
92,4,Canada,31,Tech,18,Software Engineer,Master,1,183,3,0,0,1,Non-profit,10,9,0,0,96907.38
93,3,India,25,Education,7,Software Engineer,Master,0,301,2,0,0,0,Startup,10000,0,1,0,50604.81
94,3,India,28,Healthcare,17,Sales Associate,Bachelor,0,49,2,0,1,1,Public,1000,10,1,0,45447.42
95,1,USA,27,Finance,26,Doctor,Bachelor,1,36,1,0,0,0,Startup,100,16,0,0,127479.4
96,2,UK,25,Manufacturing,14,,Bachelor,1,34,2,0,1,0,Private,10,11,1,39,103822.4
97,1,USA,27,Manufacturing,6,Professor,Bachelor,1,6,0,1,0,0,Government,10000,2,1,42,94044.07
98,3,India,25,Others,23,Business Analyst,Bachelor,0,863,53,1,1,1,Non-profit,10000,11,1,0,128040.7
99,3,India,23,Manufacturing,6,Doctor,Bachelor,0,21,1,1,1,0,Private,100,5,0,0,36322.68
100,4,Canada,24,Tech,2,Product Manager,PhD,1,948,9,1,1,0,Startup,100,0,0,49,289522.8
101,3,India,28,Tech,17,Marketing Associate,Bachelor,0,70,0,0,0,1,Startup,1000,9,1,0,61203.93
102,4,Canada,34,Finance,13,Marketing Associate,Bachelor,1,79,2,1,0,1,Government,1000,1,1,0,63398.19
103,3,India,35,Retail,16,Marketing Associate,Bachelor,0,38,1,1,1,1,Startup,10,11,1,0,53570.76
104,2,UK,28,Finance,8,Sales Associate,Bachelor,1,77,1,1,0,1,Non-profit,100,0,0,0,61733.36
105,3,India,31,Education,9,Marketing Associate,Bachelor,0,57,4,1,1,0,Public,10000,4,1,0,39450.16
106,4,Canada,23,Tech,7,Professor,Bachelor,1,20,1,0,0,0,Public,10000,3,0,5,70950.03
107,4,Canada,23,Others,18,Doctor,Bachelor,1,1,0,0,0,0,Government,10000,17,0,0,80539.46
108,4,Canada,33,Others,19,Software Engineer,Master,1,532,26,1,0,0,Non-profit,10000,9,0,0,134764.5
109,3,India,28,Manufacturing,1,Data Scientist,Master,0,530,22,0,1,1,Government,100,0,0,0,56829.51
110,4,Canada,30,Others,25,Business Analyst,Master,1,409,7,1,1,1,Public,10000,1,0,0,98357.61
111,5,Australia,26,Education,19,Professor,Bachelor,1,30,2,1,1,1,Startup,10,13,1,1,110554.7
112,2,UK,29,Healthcare,21,Data Scientist,Bachelor,1,389,12,0,0,0,Government,10000,20,0,0,136137.3
113,3,India,23,Healthcare,20,Software Engineer,Bachelor,0,939,19,1,0,0,Non-profit,10000,3,0,0,86779.35
114,4,Canada,25,Retail,11,Data Scientist,PhD,1,279,23,1,1,1,Startup,1000,9,1,0,158830.9
115,2,UK,23,Others,3,Professor,Bachelor,1,51,3,1,0,1,Government,10,1,1,42,84335.62
116,3,India,33,Finance,0,Product Manager,Master,0,402,22,1,0,1,Non-profit,10000,0,1,29,67120.98
117,2,UK,28,Tech,25,Data Scientist,PhD,1,728,66,1,0,0,Startup,10,11,1,0,399154.5
118,5,Australia,24,Tech,14,Doctor,Bachelor,1,94,4,0,1,1,Public,1000,9,0,0,101391.2
,3,India,30,Healthcare,0,Software Engineer,Bachelor,0,953,78,0,1,0,Public,10000,0,1,0,102249.9
120,4,Canada,33,Finance,4,Business Analyst,Master,1,658,21,0,0,1,Startup,10,3,0,0,133628
121,1,USA,35,Finance,29,Software Engineer,Bachelor,1,332,16,1,0,1,Non-profit,100,16,0,0,159013.4
122,4,Canada,26,Tech,19,Professor,Bachelor,1,25,0,1,1,1,Public,100,0,0,15,81488.39
123,3,India,25,Retail,22,Doctor,Bachelor,0,41,0,1,0,1,Government,1000,11,1,0,46159.38
124,4,Canada,26,Tech,24,Marketing Associate,Bachelor,1,86,1,1,0,0,Private,1000,22,0,0,115594.8
125,1,USA,25,Healthcare,20,Software Engineer,Master,1,805,74,0,0,1,Government,10,15,1,0,292104.8
126,1,USA,26,Retail,18,Data Scientist,Bachelor,1,711,9,0,0,1,Public,1000,11,1,0,162459.4
127,1,USA,30,Manufacturing,20,Data Scientist,Bachelor,1,676,58,1,1,0,Non-profit,10000,0,0,0,191887
128,4,Canada,30,Finance,5,Product Manager,PhD,1,135,4,1,1,1,Public,1000,1,0,29,106394.9
129,3,India,24,Tech,7,Sales Associate,Bachelor,0,76,4,1,0,0,Private,10,0,1,0,41408.78
130,4,Canada,35,Others,2,Marketing Associate,Bachelor,1,22,1,0,0,1,Public,100,1,0,0,53276.93
131,1,USA,27,Retail,19,Marketing Associate,Bachelor,1,61,1,1,0,1,Government,10,9,0,0,91030.16
132,5,Australia,35,Retail,33,Doctor,Bachelor,1,61,2,1,1,0,Public,1000,14,0,0,106993.9
133,1,USA,29,Finance,25,Doctor,Bachelor,1,20,1,1,0,0,Government,1000,11,1,0,91108.01
134,1,USA,33,Retail,27,Business Analyst,PhD,1,203,8,0,0,1,Private,1000,8,0,0,147447.6
135,3,India,30,Manufacturing,13,Marketing Associate,Bachelor,0,46,0,0,1,1,Non-profit,10000,4,1,0,37923.56
136,4,Canada,35,Healthcare,22,Business Analyst,Bachelor,1,660,21,0,0,0,Non-profit,100,11,1,0,149513.8
137,3,India,,Others,10,Business Analyst,Master,0,192,11,0,0,1,Public,10,6,0,0,49514.17
138,4,Canada,23,Manufacturing,17,Professor,Bachelor,1,77,1,0,0,1,Government,1000,4,0,26,86501.13
139,1,USA,29,Healthcare,6,Doctor,Bachelor,1,5,0,0,0,1,Non-profit,100,4,0,0,69022.66
140,1,USA,27,Finance,21,Product Manager,PhD,1,118,1,1,1,0,Government,1000,11,0,34,171322.1
141,1,USA,27,Others,0,Business Analyst,Master,1,369,10,0,1,1,Non-profit,100,0,1,0,91621.48
142,4,Canada,33,Education,23,Data Scientist,Bachelor,1,426,41,0,0,1,Public,100,13,1,0,154023.1
143,1,USA,35,Finance,10,Sales Associate,Bachelor,1,94,2,0,1,0,Private,100,3,1,0,79560.69
144,3,India,34,Education,9,Business Analyst,PhD,0,425,23,0,0,0,Startup,10000,5,0,0,98876.8
145,3,India,28,Retail,1,Business Analyst,Bachelor,0,442,6,1,1,1,Private,100,0,0,0,46204.56
146,1,USA,24,Finance,0,Doctor,Bachelor,1,33,0,0,0,0,Non-profit,1000,0,0,0,61685.92
147,5,Australia,33,Retail,3,Marketing Associate,Bachelor,1,68,4,0,0,0,Private,10000,0,0,0,66785.45
148,4,Canada,25,Manufacturing,8,Sales Associate,Bachelor,1,14,0,0,1,0,Private,10,2,1,0,57464.79
149,5,Australia,29,Healthcare,12,Software Engineer,Master,1,290,6,0,1,1,Public,10,7,0,0,100705.2
150,1,USA,31,Finance,3,Software Engineer,PhD,1,786,5,0,0,1,Private,10,2,1,0,154711.8
151,5,Australia,25,Retail,2,Sales Associate,Bachelor,1,37,1,1,0,0,Public,100,0,1,0,60976.98
152,4,Canada,33,Tech,27,Data Scientist,PhD,1,560,5,0,1,0,Non-profit,10000,9,1,0,183267.5
153,4,Canada,32,Healthcare,17,Professor,Bachelor,1,43,1,0,0,1,Non-profit,1000,12,0,21,93574.88
154,5,Australia,34,Manufacturing,1,Business Analyst,Master,1,554,16,0,0,0,Government,100,0,0,0,107505.9
155,2,UK,32,Finance,8,Marketing Associate,Bachelor,1,40,0,0,1,1,Public,100,4,1,0,62876.98
156,4,Canada,28,Retail,6,Data Scientist,Bachelor,1,511,22,0,1,1,Private,10,4,1,0,106467.9
157,1,USA,28,Healthcare,1,Professor,Bachelor,1,1232.311,0,1,1,0,Public,1000,0,1,20,162724.6
158,1,USA,34,Tech,31,Data Scientist,Master,1,999,50,1,0,0,Government,10000,20,0,0,381515.1
159,1,USA,31,Healthcare,29,Sales Associate,Bachelor,1,17,0,1,1,1,Startup,10000,28,1,0,151044.8
160,2,UK,28,Finance,16,Business Analyst,Bachelor,1,147,7,1,0,0,Public,10000,14,1,0,94746.24
161,1,USA,32,Tech,28,Data Scientist,Bachelor,1,304,4,1,1,0,Public,1000,21,0,0,167617.4
162,5,Australia,24,Finance,13,Data Scientist,Master,1,531,39,1,0,1,Startup,1000,2,1,0,174372.8
163,2,UK,32,Education,13,Marketing Associate,Bachelor,1,31,1,0,0,0,Public,10,7,0,0,70466.41
164,4,Canada,35,Healthcare,14,Sales Associate,Bachelor,1,15,0,0,0,1,Startup,100,8,1,0,79971.28
165,2,UK,27,Retail,16,Product Manager,Bachelor,1,565,48,0,0,1,Public,100,13,1,26,226346.9
166,1,USA,29,Tech,3,Data Scientist,PhD,1,367,31,0,1,0,Startup,10000,2,1,0,206858.8
167,1,USA,32,Finance,24,Software Engineer,PhD,1,909,26,0,0,0,Public,1000,16,0,0,308383.9
168,5,Australia,33,Others,6,Professor,Bachelor,1,1,0,1,1,1,Startup,10,0,0,37,102413.1
169,4,Canada,31,Education,18,Professor,Bachelor,1,22,1,1,0,0,Non-profit,1000,4,1,24,80922.35
170,4,Canada,33,Finance,8,Marketing Associate,Bachelor,1,55,3,0,0,0,Government,1000,6,0,0,66099.45
171,2,UK,23,Finance,14,Sales Associate,Bachelor,1,5,0,0,1,1,Non-profit,,4,1,0,64277.56
172,1,USA,28,Healthcare,18,Marketing Associate,Bachelor,1,67,1,1,0,0,Non-profit,1000,8,1,0,87870.81
173,1,USA,29,Healthcare,9,Product Manager,PhD,1,373,29,0,0,0,Non-profit,10000,3,1,29,209027.5
174,2,UK,23,Education,7,Doctor,Bachelor,1,49,2,1,0,0,Non-profit,10000,6,0,0,66863.9
175,3,India,35,Retail,24,Business Analyst,PhD,0,468,43,1,1,1,Startup,10000,1,0,0,124349.4
176,1,USA,29,Healthcare,12,Doctor,Bachelor,1,24,0,1,1,1,Non-profit,10000,10,1,0,81781.16
177,4,Canada,23,Tech,9,Business Analyst,PhD,1,287,23,1,1,0,Government,10000,1,0,0,131476.7
178,2,UK,29,Retail,16,Product Manager,PhD,1,791,51,0,1,0,Public,1000,9,0,49,373943.6
179,2,UK,30,Education,1,Doctor,Bachelor,1,81,7,0,1,1,Startup,1000,0,0,0,72376.79
180,5,Australia,24,Healthcare,17,Software Engineer,PhD,1,185,3,1,0,0,Private,10,12,0,0,132247.7
181,1,USA,24,Retail,1,Data Scientist,PhD,1,414,17,0,1,1,Startup,10,0,0,0,157882
182,1,USA,28,Manufacturing,18,Sales Associate,Bachelor,1,0,0,0,0,1,Public,1000,8,0,0,82239.24
183,4,Canada,23,Tech,15,Business Analyst,Bachelor,1,694,62,0,0,0,Private,100,7,1,0,208039.9
184,3,India,29,Others,14,Marketing Associate,Bachelor,0,81,1,1,1,1,Government,10,12,0,0,46599.8
185,4,Canada,27,Finance,7,Doctor,Bachelor,1,28,0,1,1,0,Startup,1000,4,0,0,72099.23
186,3,India,33,Tech,6,Business Analyst,PhD,0,115,2,1,0,0,Public,100,0,0,0,54269.32
187,5,Australia,27,Tech,17,Professor,Bachelor,1,44,1,0,1,0,Startup,1000,12,0,30,158153.2
188,4,Canada,27,Retail,8,Marketing Associate,Bachelor,1,95,2,1,0,0,Government,100,4,0,0,64680.33
189,4,Canada,30,Tech,15,Data Scientist,PhD,1,805,67,1,1,1,Government,100,9,0,0,301858.5
190,1,USA,25,Manufacturing,1,Product Manager,Bachelor,1,370,29,1,0,1,Government,100,0,1,16,123719.8
191,4,Canada,24,Tech,7,Product Manager,Bachelor,1,132,1,1,1,1,Government,10000,0,0,12,78419.28
192,1,USA,34,Manufacturing,20,Sales Associate,Bachelor,1,48,1,1,1,1,Non-profit,10,0,0,0,76290.11
193,5,Australia,27,Manufacturing,8,Software Engineer,Bachelor,1,486,19,1,0,1,Startup,100,7,0,0,150988.5
194,3,India,32,Healthcare,8,Software Engineer,Bachelor,0,207,14,1,1,1,Government,1000,2,0,0,46706.56
195,4,Canada,31,Manufacturing,20,Product Manager,Bachelor,1,748,39,0,0,1,Government,100,11,1,43,254278.3
196,5,Australia,27,Manufacturing,0,Marketing Associate,Bachelor,1,17,0,0,0,0,Private,10000,0,1,0,59560.07
197,1,USA,27,Retail,23,Business Analyst,Bachelor,1,154,10,1,0,0,Startup,1000,22,1,0,163514.4
198,3,India,30,Retail,9,Professor,Bachelor,0,83,5,0,1,1,Public,10,1,1,11,42127.43
199,4,Canada,23,Others,2,Business Analyst,Master,1,726,40,0,0,0,Government,10000,0,0,0,124396
200,4,Canada,30,Others,0,Business Analyst,Master,1,774,59,1,1,1,Public,10,0,0,0,140432.5
201,2,UK,34,Education,22,Business Analyst,Bachelor,1,684,5,1,0,0,Private,10000,13,0,0,143108.4
202,4,Canada,34,Manufacturing,10,Data Scientist,Bachelor,1,699,68,1,0,0,Government,100,2,0,0,163118.4
203,5,Australia,33,Retail,30,Product Manager,PhD,1,186,4,0,1,1,Startup,10000,15,1,18,219943.4
204,4,Canada,31,Tech,8,Doctor,Bachelor,1,89,4,1,1,1,Startup,10000,6,0,0,93982.45
205,4,Canada,32,Finance,21,Product Manager,PhD,1,461,39,0,0,0,Government,1000,18,0,38,298974
206,2,UK,32,Others,23,Sales Associate,Bachelor,1,63,5,1,0,0,Government,1000,4,0,0,76828.51
207,2,UK,34,Manufacturing,3,Marketing Associate,Bachelor,1,77,1,1,0,1,Startup,10,0,1,0,71690.93
208,2,UK,33,Manufacturing,5,Software Engineer,Bachelor,1,476,36,0,0,0,Government,10000,0,1,0,110086.4
209,4,Canada,28,Healthcare,27,Professor,Bachelor,1,47,2,0,1,1,Government,10000,21,0,34,128814.7
210,3,India,25,Retail,12,Marketing Associate,Bachelor,0,14,0,1,0,1,Government,1000,3,0,0,35669.97
211,3,India,29,Healthcare,0,Business Analyst,PhD,0,796,76,1,1,0,Non-profit,10,0,1,0,123142.9
212,5,Australia,32,Tech,3,Professor,Bachelor,1,40,1,1,1,0,Startup,1000,1,0,19,104630.2
213,4,Canada,28,Education,11,Professor,Bachelor,1,54,3,0,0,1,Private,10000,0,1,9,65545.42
214,2,UK,29,Retail,0,Sales Associate,Bachelor,1,80,5,1,0,1,Public,10,0,0,0,59058.87
215,3,India,33,Manufacturing,20,Product Manager,PhD,0,906,40,1,1,1,Public,10000,8,0,32,190027.9
216,4,Canada,28,Others,14,Business Analyst,Bachelor,1,125,72.29931,1,0,0,Non-profit,10,9,1,0,131524.3
217,2,UK,26,Finance,24,Professor,Bachelor,1,57,1,1,0,1,Government,10,23,0,12,111256.3
218,5,Australia,34,Manufacturing,3,Sales Associate,Bachelor,1,88,7,1,1,1,Startup,10,1,1,0,84542.63
219,3,India,33,Retail,32,Business Analyst,PhD,0,437,30,0,0,0,Startup,100,30,0,0,183402.4
220,3,India,34,Education,9,Data Scientist,Master,0,163,10,1,0,0,Private,10000,2,1,0,43961.77
221,1,USA,26,Retail,6,Marketing Associate,Bachelor,1,37,1,0,0,0,Non-profit,1000,5,0,0,73845.04
222,2,UK,33,Education,3,Data Scientist,Master,1,834,67,0,1,0,Government,10,0,0,0,161741.8
223,1,USA,34,Retail,28,Business Analyst,PhD,1,877,26,0,0,0,,100,18,0,0,320646.6
224,5,Australia,23,Finance,3,Product Manager,Master,1,721,11,1,0,0,Government,10000,0,0,43,160386.3
225,1,USA,26,Others,15,Professor,Bachelor,1,59,2,0,1,1,Public,1000,2,0,18,92390.84
226,4,Canada,27,Tech,0,Doctor,Bachelor,1,1,0,1,0,1,Non-profit,1000,0,1,0,58306.16
227,3,India,24,Manufacturing,6,Data Scientist,Bachelor,0,380,11,1,1,1,Non-profit,10,0,0,0,48944.79
228,1,USA,23,Manufacturing,12,Doctor,Bachelor,1,37,1,1,0,1,Non-profit,100,8,1,0,80593.07
229,1,USA,33,Healthcare,28,Doctor,Bachelor,1,24,1,0,1,0,Private,10000,1,1,0,80592.5
230,2,UK,32,Tech,21,Marketing Associate,Bachelor,1,60,3,1,0,0,Private,1000,19,0,0,109603.7
231,2,UK,35,Finance,5,Business Analyst,Bachelor,1,331,21,1,0,1,Government,1000,3,1,0,93329.01
232,1,USA,32,Manufacturing,1,Marketing Associate,Bachelor,1,70,3,1,1,1,Private,1000,0,1,0,66681.21
233,4,Canada,26,Retail,17,Data Scientist,Bachelor,1,335,21,1,0,1,Private,10,4,0,0,102277.4
234,1,USA,32,Retail,30,Business Analyst,Bachelor,1,562,41,0,0,0,Startup,10,2,1,0,210835.9
235,4,Canada,33,Retail,8,Data Scientist,Master,1,316,17,0,0,1,Government,10000,1,1,0,84113.72
236,1,USA,26,Others,9,Sales Associate,Bachelor,1,87,4,1,0,0,Startup,10000,3,0,0,93380.23
237,5,Australia,34,Education,13,Marketing Associate,Bachelor,1,37,2,1,1,0,Public,100,5,1,0,76054.68
238,5,Australia,27,Tech,16,Software Engineer,Bachelor,1,640,45,0,0,1,Startup,10,3,0,0,234465.6
239,1,USA,29,Others,9,Marketing Associate,Bachelor,1,2,0,1,1,0,Private,10000,8,1,0,76995.51
240,2,UK,28,Education,24,Marketing Associate,Bachelor,1,84,5,0,1,1,Non-profit,10,5,1,0,80406.84
241,4,Canada,30,Retail,4,Product Manager,PhD,1,540,17,1,0,0,Private,100,0,0,3,124612.5
242,5,Australia,24,Education,7,Professor,Bachelor,1,79,5,0,0,1,Government,100,2,0,43,103826.6
243,4,Canada,28,Manufacturing,5,Software Engineer,Bachelor,1,897,62,0,1,1,Private,1000,3,0,0,173315.3
